"ISO3","Year","Sex","Cardiovascular","Digestive","Drowning","Interp_violence","Maternal","Neoplasms","Other_inj","OtherCD","OtherNCD","RTA","Self_harm"
"AFG",2000,"F",0.055998545578533,0.111152874284317,0.0161876923294635,0.0218299894871554,0.051578166440626,0.0470406455753502,0.0863299615204702,0.237205223970441,0.252540673865256,0.0131290017301463,0.107007225218241
"AFG",2001,"F",0.0550914555278949,0.111377362043333,0.0163730983109937,0.0222935735002696,0.0509728647133206,0.0477235415351878,0.0869382940868774,0.232111919993033,0.255406387801606,0.0133357014242585,0.108375801063225
"AFG",2002,"F",0.0542980958237795,0.111464377352321,0.0165479662215525,0.0227611784087266,0.0504991402400518,0.0483748391193672,0.0873833031378002,0.227638778311676,0.257809573154253,0.013535989297589,0.109686758932884
"AFG",2003,"F",0.0537364524367714,0.111273889800174,0.0166891402326258,0.0232107881361944,0.0501980137491686,0.0489373958019985,0.0875453505654688,0.224288429281241,0.259613535199087,0.013714114887477,0.110792889909793
"AFG",2004,"F",0.0533813631316257,0.110820161465543,0.0167970470366522,0.0236351859134107,0.0500387601284439,0.0494016843728383,0.0874180115606807,0.22214102656661,0.260806993171592,0.0138625442673707,0.111697222385233
"AFG",2005,"F",0.0532557183872106,0.110075313234379,0.0168663349517221,0.0240203810218082,0.0500350581985295,0.0497346350243026,0.0869494820548394,0.221558168533682,0.261167698719059,0.013971580261798,0.112365629612669
"AFG",2006,"F",0.0533741525109027,0.109035968047502,0.0168940817695017,0.024356734152328,0.050180920232365,0.0499301951820195,0.0861383181670031,0.222506300236922,0.26077286267877,0.0140348905581523,0.112775576464534
"AFG",2007,"F",0.0536698517971727,0.107794726767458,0.0168923777751601,0.0246570729482527,0.0504271803060372,0.0500333195526925,0.085098836168942,0.224421512716624,0.259939768222976,0.0140649886383551,0.11300036510633
"AFG",2008,"F",0.0541057424448639,0.106410413184366,0.0168672026508541,0.0249377042370005,0.0507234334153879,0.0500889999537796,0.0839504266698452,0.226655479852499,0.259107441402748,0.0140789418776234,0.113074214311032
"AFG",2009,"F",0.0545748960073147,0.105015615497991,0.0168420066705099,0.0252434416132989,0.0509429781754703,0.0502206590374081,0.0829405409297857,0.227694857425137,0.259264212434165,0.0141120171358566,0.113148775073063
"AFG",2010,"F",0.0549634550136821,0.103663805904853,0.0168328779875745,0.0256042993348694,0.0509993181803414,0.0504660373857183,0.0821588162158261,0.227347208444972,0.260441308483979,0.0141819445781171,0.113340928470066
"AFG",2011,"F",0.0553115071230951,0.102282031441087,0.0168342941417265,0.0260198979539084,0.050895747932229,0.0508182592375296,0.0815608759724687,0.225742955951729,0.262627829076273,0.0142843556410415,0.113622245528912
"AFG",2012,"F",0.0556401789193301,0.1008067972839,0.0168434258528723,0.0264884433344922,0.0506477180838996,0.0512575476276021,0.0810824971418671,0.223270780960874,0.265566524030837,0.0144127218291525,0.113983364935173
"AFG",2013,"F",0.0559095355701786,0.0992767037791925,0.0168628163570307,0.0270005944326753,0.0503042928464772,0.0517420122711222,0.0806553222183308,0.220609337733645,0.268643520937146,0.0145569366000289,0.114438927254172
"AFG",2014,"F",0.0560930301386954,0.0977607020376111,0.016899550154042,0.0275527316503925,0.0499039215571803,0.0522758193076419,0.0802852379596995,0.217749929634161,0.271735736786045,0.0147155778794526,0.115027762895078
